asset_name,date,opening_value
Aktív hozamfigyelõ vegyes eszközalap - D,2025-09-02,0.9357
Euró likviditás eszközalap - D,2025-09-02,0.9246
Európai ingatlancégek részv. eszközalap,2025-09-02,1.8221
Európai kötvény eszközalap - D,2025-09-02,1.2248
Európai részvény eszközalap,2025-09-02,2.5329
Európai vállalati kötvény eszközalap,2025-09-02,1.3186
Fejlõdõ piaci részvény ESG eszközalap-D,2025-09-02,1.0586
Fejlõdõ ázsiai részvény eszközalap,2025-09-02,2.1516
Fenntartható növekedés részvény eszk.,2025-09-02,3.0657
Globális egészségügyi részvény eszk.,2025-09-02,3.26
Globális növekedési részvény eszközalap,2025-09-02,2.2025
Kiegyensúlyozott vegyes eszközalap - D,2025-09-02,1.3927
Latin-amerikai részvény eszközalap,2025-09-02,1.1141
Magas kötvény arányú vegyes eszk. - D,2025-09-02,1.0966
Magas védelmû vegyes eszközalap,2025-09-02,1.09
Nemz. élelmiszeripari cégek rv. ea - D,2025-09-02,3.1776
Nyersanyagpiaci részvény eszközalap,2025-09-02,1.3712
Presztízs- és luxusmárkák rv. ea.,2025-09-02,3.5605
USA részvény eszközalap,2025-09-02,4.3734
Ázsia kötvény eszközalap,2025-09-02,2.2145
Aktív hozamfigyelõ vegyes eszközalap - D,2025-09-02,0.9357
Euró likviditás eszközalap - D,2025-09-02,0.9246
Európai ingatlancégek részv. eszközalap,2025-09-02,1.8221
Európai kötvény eszközalap - D,2025-09-02,1.2248
Európai részvény eszközalap,2025-09-02,2.5329
Európai vállalati kötvény eszközalap,2025-09-02,1.3186
Fejlõdõ piaci részvény ESG eszközalap-D,2025-09-02,1.0586
Fejlõdõ ázsiai részvény eszközalap,2025-09-02,2.1516
Fenntartható növekedés részvény eszk.,2025-09-02,3.0657
Globális egészségügyi részvény eszk.,2025-09-02,3.26
Globális növekedési részvény eszközalap,2025-09-02,2.2025
Kiegyensúlyozott vegyes eszközalap - D,2025-09-02,1.3927
Latin-amerikai részvény eszközalap,2025-09-02,1.1141
Magas kötvény arányú vegyes eszk. - D,2025-09-02,1.0966
Magas védelmû vegyes eszközalap,2025-09-02,1.09
Nemz. élelmiszeripari cégek rv. ea - D,2025-09-02,3.1776
Nyersanyagpiaci részvény eszközalap,2025-09-02,1.3712
Presztízs- és luxusmárkák rv. ea.,2025-09-02,3.5605
USA részvény eszközalap,2025-09-02,4.3734
Ázsia kötvény eszközalap,2025-09-02,2.2145
Aktív hozamfigyelõ vegyes eszközalap - D,2025-09-03,0.9309
Euró likviditás eszközalap - D,2025-09-03,0.9241
Európai ingatlancégek részv. eszközalap,2025-09-03,1.7595
Európai kötvény eszközalap - D,2025-09-03,1.2217
Európai részvény eszközalap,2025-09-03,2.4953
Európai vállalati kötvény eszközalap,2025-09-03,1.3158
Fejlõdõ piaci részvény ESG eszközalap-D,2025-09-03,1.0566
Fejlõdõ ázsiai részvény eszközalap,2025-09-03,2.1419
Fenntartható növekedés részvény eszk.,2025-09-03,3.0476
Globális egészségügyi részvény eszk.,2025-09-03,3.2599
Globális növekedési részvény eszközalap,2025-09-03,2.1787
Kiegyensúlyozott vegyes eszközalap - D,2025-09-03,1.3879
Latin-amerikai részvény eszközalap,2025-09-03,1.109
Magas kötvény arányú vegyes eszk. - D,2025-09-03,1.0931
Magas védelmû vegyes eszközalap,2025-09-03,1.0869
Nemz. élelmiszeripari cégek rv. ea - D,2025-09-03,3.1772
Nyersanyagpiaci részvény eszközalap,2025-09-03,1.3603
Presztízs- és luxusmárkák rv. ea.,2025-09-03,3.546
USA részvény eszközalap,2025-09-03,4.3595
Ázsia kötvény eszközalap,2025-09-03,2.2289
Aktív hozamfigyelõ vegyes eszközalap - D,2025-09-04,0.9344
Euró likviditás eszközalap - D,2025-09-04,0.9246
Európai ingatlancégek részv. eszközalap,2025-09-04,1.7746
Európai kötvény eszközalap - D,2025-09-04,1.2246
Európai részvény eszközalap,2025-09-04,2.5118
Európai vállalati kötvény eszközalap,2025-09-04,1.3179
Fejlõdõ piaci részvény ESG eszközalap-D,2025-09-04,1.0619
Fejlõdõ ázsiai részvény eszközalap,2025-09-04,2.1459
Fenntartható növekedés részvény eszk.,2025-09-04,3.0715
Globális egészségügyi részvény eszk.,2025-09-04,3.2598
Globális növekedési részvény eszközalap,2025-09-04,2.1829
Kiegyensúlyozott vegyes eszközalap - D,2025-09-04,1.3922
Latin-amerikai részvény eszközalap,2025-09-04,1.1149
Magas kötvény arányú vegyes eszk. - D,2025-09-04,1.0962
Magas védelmû vegyes eszközalap,2025-09-04,1.0884
Nemz. élelmiszeripari cégek rv. ea - D,2025-09-04,3.1707
Nyersanyagpiaci részvény eszközalap,2025-09-04,1.3654
Presztízs- és luxusmárkák rv. ea.,2025-09-04,3.5796
USA részvény eszközalap,2025-09-04,4.389
Ázsia kötvény eszközalap,2025-09-04,2.2267
Aktív hozamfigyelõ vegyes eszközalap - D,2025-09-05,0.9387
Euró likviditás eszközalap - D,2025-09-05,0.9247
Európai ingatlancégek részv. eszközalap,2025-09-05,1.7753
Európai kötvény eszközalap - D,2025-09-05,1.2265
Európai részvény eszközalap,2025-09-05,2.525
Európai vállalati kötvény eszközalap,2025-09-05,1.3197
Fejlõdõ piaci részvény ESG eszközalap-D,2025-09-05,1.0601
Fejlõdõ ázsiai részvény eszközalap,2025-09-05,2.1393
Fenntartható növekedés részvény eszk.,2025-09-05,3.1009
Globális egészségügyi részvény eszk.,2025-09-05,3.2675
Globális növekedési részvény eszközalap,2025-09-05,2.2048
Kiegyensúlyozott vegyes eszközalap - D,2025-09-05,1.3987
Latin-amerikai részvény eszközalap,2025-09-05,1.1136
Magas kötvény arányú vegyes eszk. - D,2025-09-05,1.0999
Magas védelmû vegyes eszközalap,2025-09-05,1.0894
Nemz. élelmiszeripari cégek rv. ea - D,2025-09-05,3.1998
Nyersanyagpiaci részvény eszközalap,2025-09-05,1.361
Presztízs- és luxusmárkák rv. ea.,2025-09-05,3.5738
USA részvény eszközalap,2025-09-05,4.4366
Ázsia kötvény eszközalap,2025-09-05,2.2318
Aktív hozamfigyelõ vegyes eszközalap - D,2025-09-06,0.9397
Euró likviditás eszközalap - D,2025-09-06,0.9255
Európai ingatlancégek részv. eszközalap,2025-09-06,1.805
Európai kötvény eszközalap - D,2025-09-06,1.231
Európai részvény eszközalap,2025-09-06,2.5146
Európai vállalati kötvény eszközalap,2025-09-06,1.3235
Fejlõdõ piaci részvény ESG eszközalap-D,2025-09-06,1.0642
Fejlõdõ ázsiai részvény eszközalap,2025-09-06,2.1771
Fenntartható növekedés részvény eszk.,2025-09-06,3.0805
Globális egészségügyi részvény eszk.,2025-09-06,3.2883
Globális növekedési részvény eszközalap,2025-09-06,2.2047
