id,asset,opening_date,opening_euro_value,closing_date,closing_euro_value,period_yield_pct,asset_growth_pct,growth_factor,cumulative_growth,period_yield_pct_cumprod
1,Aktív hozamfigyelõ vegyes eszközalap - D,2025-06-03,0.9214,2025-06-04,0.9238,0.0026,,1.0026,1.0026,0.26
2,Euró likviditás eszközalap - D,2025-06-03,0.9248,2025-06-04,0.925,0.0002,,1.0002,1.0002,0.02
3,Európai ingatlancégek részv. eszközalap,2025-06-03,1.8987,2025-06-04,1.8929,-0.003,,0.997,0.997,-0.3
4,Európai kötvény eszközalap - D,2025-06-03,1.2338,2025-06-04,1.2348,0.0009,,1.0009,1.0009,0.09
5,Európai részvény eszközalap,2025-06-03,2.5212,2025-06-04,2.5268,0.0022,,1.0022,1.0022,0.22
6,Európai vállalati kötvény eszközalap,2025-06-03,1.3127,2025-06-04,1.314,0.001,,1.001,1.001,0.1
7,Fejlõdõ piaci részvény ESG eszközalap-D,2025-06-03,1.0127,2025-06-04,1.0202,0.0074,,1.0074,1.0074,0.74
8,Fejlõdõ ázsiai részvény eszközalap,2025-06-03,1.9192,2025-06-04,1.952,0.0171,,1.0171,1.0171,1.71
9,Fenntartható növekedés részvény eszk.,2025-06-03,3.002,2025-06-04,3.027,0.0083,,1.0083,1.0083,0.83
10,Globális egészségügyi részvény eszk.,2025-06-03,3.1562,2025-06-04,3.169,0.0041,,1.0041,1.0041,0.41
11,Globális növekedési részvény eszközalap,2025-06-03,2.2798,2025-06-04,2.2862,0.0028,,1.0028,1.0028,0.28
12,Kiegyensúlyozott vegyes eszközalap - D,2025-06-03,1.3673,2025-06-04,1.3714,0.003,,1.003,1.003,0.3
13,Latin-amerikai részvény eszközalap,2025-06-03,1.084,2025-06-04,1.0942,0.0094,,1.0094,1.0094,0.94
14,Magas kötvény arányú vegyes eszk. - D,2025-06-03,1.0914,2025-06-04,1.0935,0.002,,1.002,1.002,0.2
15,Magas védelmû vegyes eszközalap,2025-06-03,1.0914,2025-06-04,1.092,0.0005,,1.0005,1.0005,0.05
16,Nemz. élelmiszeripari cégek rv. ea - D,2025-06-03,3.3131,2025-06-04,3.3222,0.0028,,1.0028,1.0028,0.28
17,Nyersanyagpiaci részvény eszközalap,2025-06-03,1.3091,2025-06-04,1.3136,0.0034,,1.0034,1.0034,0.34
18,Presztízs- és luxusmárkák rv. ea.,2025-06-03,3.341,2025-06-04,3.3888,0.0143,,1.0143,1.0143,1.43
19,USA részvény eszközalap,2025-06-03,4.1212,2025-06-04,4.1587,0.0091,,1.0091,1.0091,0.91
20,Ázsia kötvény eszközalap,2025-06-03,2.2249,2025-06-04,2.2275,0.0012,,1.0012,1.0012,0.12
21,Aktív hozamfigyelõ vegyes eszközalap - D,2025-06-04,0.9238,2025-06-05,0.9259,0.0023,0.2605,1.0023,1.0049,0.49
22,Euró likviditás eszközalap - D,2025-06-04,0.925,2025-06-05,0.9247,-0.0003,0.0216,0.9997,0.9999,-0.01
23,Európai ingatlancégek részv. eszközalap,2025-06-04,1.8929,2025-06-05,1.8868,-0.0032,-0.3055,0.9968,0.9938,-0.62
24,Európai kötvény eszközalap - D,2025-06-04,1.2348,2025-06-05,1.2336,-0.001,0.0811,0.999,0.9999,-0.01
25,Európai részvény eszközalap,2025-06-04,2.5268,2025-06-05,2.5371,0.0041,0.2221,1.0041,1.0063,0.63
26,Európai vállalati kötvény eszközalap,2025-06-04,1.314,2025-06-05,1.3133,-0.0005,0.099,0.9995,1.0005,0.05
27,Fejlõdõ piaci részvény ESG eszközalap-D,2025-06-04,1.0202,2025-06-05,1.0243,0.004,0.7406,1.004,1.0114,1.14
28,Fejlõdõ ázsiai részvény eszközalap,2025-06-04,1.952,2025-06-05,1.9589,0.0035,1.709,1.0035,1.0207,2.07
29,Fenntartható növekedés részvény eszk.,2025-06-04,3.027,2025-06-05,3.0311,0.0014,0.8328,1.0014,1.0097,0.97
30,Globális egészségügyi részvény eszk.,2025-06-04,3.169,2025-06-05,3.2025,0.0105,0.4056,1.0105,1.0146,1.46
31,Globális növekedési részvény eszközalap,2025-06-04,2.2862,2025-06-05,2.2886,0.0011,0.2807,1.0011,1.0039,0.39
32,Kiegyensúlyozott vegyes eszközalap - D,2025-06-04,1.3714,2025-06-05,1.3728,0.001,0.2999,1.001,1.004,0.4
33,Latin-amerikai részvény eszközalap,2025-06-04,1.0942,2025-06-05,1.0992,0.0046,0.941,1.0046,1.014,1.4
34,Magas kötvény arányú vegyes eszk. - D,2025-06-04,1.0935,2025-06-05,1.0936,0.0,0.1924,1.0,1.002,0.2
35,Magas védelmû vegyes eszközalap,2025-06-04,1.092,2025-06-05,1.0933,0.0012,0.055,1.0012,1.0017,0.17
36,Nemz. élelmiszeripari cégek rv. ea - D,2025-06-04,3.3222,2025-06-05,3.3293,0.0021,0.2747,1.0021,1.0049,0.49
37,Nyersanyagpiaci részvény eszközalap,2025-06-04,1.3136,2025-06-05,1.3232,0.0073,0.3437,1.0073,1.0107,1.07
38,Presztízs- és luxusmárkák rv. ea.,2025-06-04,3.3888,2025-06-05,3.3993,0.0031,1.4307,1.0031,1.0174,1.74
39,USA részvény eszközalap,2025-06-04,4.1587,2025-06-05,4.1499,-0.0021,0.9099,0.9979,1.007,0.7
40,Ázsia kötvény eszközalap,2025-06-04,2.2275,2025-06-05,2.2305,0.0013,0.1169,1.0013,1.0025,0.25
41,Aktív hozamfigyelõ vegyes eszközalap - D,2025-06-05,0.9259,2025-06-06,0.9234,-0.0026,0.2273,0.9974,1.0023,0.23
42,Euró likviditás eszközalap - D,2025-06-05,0.9247,2025-06-06,0.9236,-0.0012,-0.0324,0.9988,0.9987,-0.13
43,Európai ingatlancégek részv. eszközalap,2025-06-05,1.8868,2025-06-06,1.8852,-0.0008,-0.3223,0.9992,0.993,-0.7
44,Európai kötvény eszközalap - D,2025-06-05,1.2336,2025-06-06,1.2294,-0.0034,-0.0972,0.9966,0.9965,-0.35
45,Európai részvény eszközalap,2025-06-05,2.5371,2025-06-06,2.5446,0.003,0.4076,1.003,1.0093,0.93
46,Európai vállalati kötvény eszközalap,2025-06-05,1.3133,2025-06-06,1.308,-0.004,-0.0533,0.996,0.9965,-0.35
47,Fejlõdõ piaci részvény ESG eszközalap-D,2025-06-05,1.0243,2025-06-06,1.0333,0.0088,0.4019,1.0088,1.0203,2.03
48,Fejlõdõ ázsiai részvény eszközalap,2025-06-05,1.9589,2025-06-06,1.9594,0.0003,0.3535,1.0003,1.021,2.1
49,Fenntartható növekedés részvény eszk.,2025-06-05,3.0311,2025-06-06,3.0222,-0.003,0.1354,0.997,1.0067,0.67
50,Globális egészségügyi részvény eszk.,2025-06-05,3.2025,2025-06-06,3.1818,-0.0065,1.0571,0.9935,1.008,0.8
51,Globális növekedési részvény eszközalap,2025-06-05,2.2886,2025-06-06,2.2784,-0.0045,0.105,0.9955,0.9994,-0.06
52,Kiegyensúlyozott vegyes eszközalap - D,2025-06-05,1.3728,2025-06-06,1.3689,-0.0028,0.1021,0.9972,1.0012,0.12
53,Latin-amerikai részvény eszközalap,2025-06-05,1.0992,2025-06-06,1.0913,-0.0072,0.457,0.9928,1.0067,0.67
54,Magas kötvény arányú vegyes eszk. - D,2025-06-05,1.0936,2025-06-06,1.0901,-0.0031,0.0091,0.9969,0.9989,-0.11
55,Magas védelmû vegyes eszközalap,2025-06-05,1.0933,2025-06-06,1.0936,0.0002,0.119,1.0002,1.0019,0.19
56,Nemz. élelmiszeripari cégek rv. ea - D,2025-06-05,3.3293,2025-06-06,3.2921,-0.0112,0.2137,0.9888,0.9937,-0.63
57,Nyersanyagpiaci részvény eszközalap,2025-06-05,1.3232,2025-06-06,1.3267,0.0026,0.7308,1.0026,1.0134,1.34
58,Presztízs- és luxusmárkák rv. ea.,2025-06-05,3.3993,2025-06-06,3.3517,-0.014,0.3098,0.986,1.0032,0.32
59,USA részvény eszközalap,2025-06-05,4.1499,2025-06-06,4.123,-0.0065,-0.2116,0.9935,1.0004,0.04
60,Ázsia kötvény eszközalap,2025-06-05,2.2305,2025-06-06,2.2348,0.0019,0.1347,1.0019,1.0044,0.44
61,Aktív hozamfigyelõ vegyes eszközalap - D,2025-06-06,0.9234,2025-06-07,0.9252,0.0019,-0.27,1.0019,1.0042,0.42
62,Euró likviditás eszközalap - D,2025-06-06,0.9236,2025-06-07,0.9238,0.0001,-0.119,1.0001,0.9988,-0.12
63,Európai ingatlancégek részv. eszközalap,2025-06-06,1.8852,2025-06-07,1.8871,0.001,-0.0848,1.001,0.994,-0.6
64,Európai kötvény eszközalap - D,2025-06-06,1.2294,2025-06-07,1.2311,0.0013,-0.3405,1.0013,0.9978,-0.22
65,Európai részvény eszközalap,2025-06-06,2.5446,2025-06-07,2.5542,0.0038,0.2956,1.0038,1.0132,1.32
66,Európai vállalati kötvény eszközalap,2025-06-06,1.308,2025-06-07,1.3107,0.002,-0.4036,1.002,0.9985,-0.15
67,Fejlõdõ piaci részvény ESG eszközalap-D,2025-06-06,1.0333,2025-06-07,1.0344,0.0011,0.8786,1.0011,1.0215,2.15
68,Fejlõdõ ázsiai részvény eszközalap,2025-06-06,1.9594,2025-06-07,1.9717,0.0062,0.0255,1.0062,1.0273,2.73
69,Fenntartható növekedés részvény eszk.,2025-06-06,3.0222,2025-06-07,3.0579,0.0118,-0.2936,1.0118,1.0186,1.86
70,Globális egészségügyi részvény eszk.,2025-06-06,3.1818,2025-06-07,3.2178,0.0113,-0.6464,1.0113,1.0194,1.94
71,Globális növekedési részvény eszközalap,2025-06-06,2.2784,2025-06-07,2.2956,0.0076,-0.4457,1.0076,1.007,0.7
72,Kiegyensúlyozott vegyes eszközalap - D,2025-06-06,1.3689,2025-06-07,1.3737,0.0035,-0.2841,1.0035,1.0047,0.47
73,Latin-amerikai részvény eszközalap,2025-06-06,1.0913,2025-06-07,1.0903,-0.0009,-0.7187,0.9991,1.0058,0.58
74,Magas kötvény arányú vegyes eszk. - D,2025-06-06,1.0901,2025-06-07,1.0927,0.0023,-0.32,1.0023,1.0012,0.12
75,Magas védelmû vegyes eszközalap,2025-06-06,1.0936,2025-06-07,1.0942,0.0006,0.0274,1.0006,1.0025,0.25
76,Nemz. élelmiszeripari cégek rv. ea - D,2025-06-06,3.2921,2025-06-07,3.2956,0.0011,-1.1174,1.0011,0.9947,-0.53
77,Nyersanyagpiaci részvény eszközalap,2025-06-06,1.3267,2025-06-07,1.3242,-0.0019,0.2645,0.9981,1.0114,1.14
78,Presztízs- és luxusmárkák rv. ea.,2025-06-06,3.3517,2025-06-07,3.3461,-0.0017,-1.4003,0.9983,1.0015,0.15
79,USA részvény eszközalap,2025-06-06,4.123,2025-06-07,4.1833,0.0146,-0.6482,1.0146,1.015,1.5
80,Ázsia kötvény eszközalap,2025-06-06,2.2348,2025-06-07,2.2331,-0.0007,0.1928,0.9993,1.0037,0.37
81,Aktív hozamfigyelõ vegyes eszközalap - D,2025-06-07,0.9252,2025-06-07,0.9252,0.0,0.1949,1.0,1.0042,0.42
82,Euró likviditás eszközalap - D,2025-06-07,0.9238,2025-06-07,0.9238,0.0,0.0217,1.0,0.9988,-0.12
83,Európai ingatlancégek részv. eszközalap,2025-06-07,1.8871,2025-06-07,1.8871,0.0,0.1008,1.0,0.994,-0.6
84,Európai kötvény eszközalap - D,2025-06-07,1.2311,2025-06-07,1.2311,0.0,0.1383,1.0,0.9978,-0.22
85,Európai részvény eszközalap,2025-06-07,2.5542,2025-06-07,2.5542,0.0,0.3773,1.0,1.0132,1.32
86,Európai vállalati kötvény eszközalap,2025-06-07,1.3107,2025-06-07,1.3107,0.0,0.2064,1.0,0.9985,-0.15
87,Fejlõdõ piaci részvény ESG eszközalap-D,2025-06-07,1.0344,2025-06-07,1.0344,0.0,0.1065,1.0,1.0215,2.15
88,Fejlõdõ ázsiai részvény eszközalap,2025-06-07,1.9717,2025-06-07,1.9717,0.0,0.6277,1.0,1.0273,2.73
89,Fenntartható növekedés részvény eszk.,2025-06-07,3.0579,2025-06-07,3.0579,0.0,1.1813,1.0,1.0186,1.86
90,Globális egészségügyi részvény eszk.,2025-06-07,3.2178,2025-06-07,3.2178,0.0,1.1314,1.0,1.0194,1.94
91,Globális növekedési részvény eszközalap,2025-06-07,2.2956,2025-06-07,2.2956,0.0,0.7549,1.0,1.007,0.7
92,Kiegyensúlyozott vegyes eszközalap - D,2025-06-07,1.3737,2025-06-07,1.3737,0.0,0.3506,1.0,1.0047,0.47
93,Latin-amerikai részvény eszközalap,2025-06-07,1.0903,2025-06-07,1.0903,0.0,-0.0916,1.0,1.0058,0.58
94,Magas kötvény arányú vegyes eszk. - D,2025-06-07,1.0927,2025-06-07,1.0927,0.0,0.2385,1.0,1.0012,0.12
95,Magas védelmû vegyes eszközalap,2025-06-07,1.0942,2025-06-07,1.0942,0.0,0.0549,1.0,1.0025,0.25
96,Nemz. élelmiszeripari cégek rv. ea - D,2025-06-07,3.2956,2025-06-07,3.2956,0.0,0.1063,1.0,0.9947,-0.53
97,Nyersanyagpiaci részvény eszközalap,2025-06-07,1.3242,2025-06-07,1.3242,0.0,-0.1884,1.0,1.0114,1.14
98,Presztízs- és luxusmárkák rv. ea.,2025-06-07,3.3461,2025-06-07,3.3461,0.0,-0.1671,1.0,1.0015,0.15
99,USA részvény eszközalap,2025-06-07,4.1833,2025-06-07,4.1833,0.0,1.4625,1.0,1.015,1.5
100,Ázsia kötvény eszközalap,2025-06-07,2.2331,2025-06-07,2.2331,0.0,-0.0761,1.0,1.0037,0.37
