id,asset_name,date,opening_value,closing_value,period_yield,cumulative_yield_pct
1,Aktív hozamfigyelõ vegyes eszközalap - D,2025-06-03,0.9214,0.9238,0.0026,0.25999999999999357
2,Euró likviditás eszközalap - D,2025-06-03,0.9248,0.925,0.0002,0.019999999999997797
3,Európai ingatlancégek részv. eszközalap,2025-06-03,1.8987,1.8929,-0.003,-0.30000000000000027
4,Európai kötvény eszközalap - D,2025-06-03,1.2338,1.2348,0.0009,0.08999999999999009
5,Európai részvény eszközalap,2025-06-03,2.5212,2.5268,0.0022,0.21999999999999797
6,Európai vállalati kötvény eszközalap,2025-06-03,1.3127,1.314,0.001,0.09999999999998899
7,Fejlõdõ piaci részvény ESG eszközalap-D,2025-06-03,1.0127,1.0202,0.0074,0.7400000000000073
8,Fejlõdõ ázsiai részvény eszközalap,2025-06-03,1.9192,1.952,0.0171,1.7099999999999893
9,Fenntartható növekedés részvény eszk.,2025-06-03,3.002,3.027,0.0083,0.8299999999999974
10,Globális egészségügyi részvény eszk.,2025-06-03,3.1562,3.169,0.0041,0.40999999999999925
11,Globális növekedési részvény eszközalap,2025-06-03,2.2798,2.2862,0.0028,0.27999999999999137
12,Kiegyensúlyozott vegyes eszközalap - D,2025-06-03,1.3673,1.3714,0.003,0.29999999999998916
13,Latin-amerikai részvény eszközalap,2025-06-03,1.084,1.0942,0.0094,0.9400000000000075
14,Magas kötvény arányú vegyes eszk. - D,2025-06-03,1.0914,1.0935,0.002,0.20000000000000018
15,Magas védelmû vegyes eszközalap,2025-06-03,1.0914,1.092,0.0005,0.04999999999999449
16,Nemz. élelmiszeripari cégek rv. ea - D,2025-06-03,3.3131,3.3222,0.0028,0.27999999999999137
17,Nyersanyagpiaci részvény eszközalap,2025-06-03,1.3091,1.3136,0.0034,0.34000000000000696
18,Presztízs- és luxusmárkák rv. ea.,2025-06-03,3.341,3.3888,0.0143,1.429999999999998
19,USA részvény eszközalap,2025-06-03,4.1212,4.1587,0.0091,0.9100000000000108
20,Ázsia kötvény eszközalap,2025-06-03,2.2249,2.2275,0.0012,0.12000000000000899
21,Aktív hozamfigyelõ vegyes eszközalap - D,2025-06-04,0.9238,0.9259,0.0023,0.49059799999999765
22,Euró likviditás eszközalap - D,2025-06-04,0.925,0.9247,-0.0003,-0.01000599999999574
23,Európai ingatlancégek részv. eszközalap,2025-06-04,1.8929,1.8868,-0.0032,-0.6190399999999929
24,Európai kötvény eszközalap - D,2025-06-04,1.2348,1.2336,-0.001,-0.010090000000007038
25,Európai részvény eszközalap,2025-06-04,2.5268,2.5371,0.0041,0.6309019999999999
26,Európai vállalati kötvény eszközalap,2025-06-04,1.314,1.3133,-0.0005,0.049949999999987504
27,Fejlõdõ piaci részvény ESG eszközalap-D,2025-06-04,1.0202,1.0243,0.004,1.142960000000004
28,Fejlõdõ ázsiai részvény eszközalap,2025-06-04,1.952,1.9589,0.0035,2.0659849999999924
29,Fenntartható növekedés részvény eszk.,2025-06-04,3.027,3.0311,0.0014,0.9711620000000032
30,Globális egészségügyi részvény eszk.,2025-06-04,3.169,3.2025,0.0105,1.464304999999988
31,Globális növekedési részvény eszközalap,2025-06-04,2.2862,2.2886,0.0011,0.39030799999999477
32,Kiegyensúlyozott vegyes eszközalap - D,2025-06-04,1.3714,1.3728,0.001,0.4002999999999757
33,Latin-amerikai részvény eszközalap,2025-06-04,1.0942,1.0992,0.0046,1.4043239999999901
34,Magas kötvény arányú vegyes eszk. - D,2025-06-04,1.0935,1.0936,0.0,0.20000000000000018
35,Magas védelmû vegyes eszközalap,2025-06-04,1.092,1.0933,0.0012,0.1700599999999941
36,Nemz. élelmiszeripari cégek rv. ea - D,2025-06-04,3.3222,3.3293,0.0021,0.4905879999999918
37,Nyersanyagpiaci részvény eszközalap,2025-06-04,1.3136,1.3232,0.0073,1.072482000000008
38,Presztízs- és luxusmárkák rv. ea.,2025-06-04,3.3888,3.3993,0.0031,1.7444330000000008
39,USA részvény eszközalap,2025-06-04,4.1587,4.1499,-0.0021,0.6980890000000128
40,Ázsia kötvény eszközalap,2025-06-04,2.2275,2.2305,0.0013,0.2501560000000236
41,Aktív hozamfigyelõ vegyes eszközalap - D,2025-06-05,0.9259,0.9234,-0.0026,0.22932244519999756
42,Euró likviditás eszközalap - D,2025-06-05,0.9247,0.9236,-0.0012,-0.12999399279999269
43,Európai ingatlancégek részv. eszközalap,2025-06-05,1.8868,1.8852,-0.0008,-0.6985447679999979
44,Európai kötvény eszközalap - D,2025-06-05,1.2336,1.2294,-0.0034,-0.3500556940000066
45,Európai részvény eszközalap,2025-06-05,2.5371,2.5446,0.003,0.9327947059999842
46,Európai vállalati kötvény eszközalap,2025-06-05,1.3133,1.308,-0.004,-0.35024980000001316
47,Fejlõdõ piaci részvény ESG eszközalap-D,2025-06-05,1.0243,1.0333,0.0088,2.0330180480000015
48,Fejlõdõ ázsiai részvény eszközalap,2025-06-05,1.9589,1.9594,0.0003,2.096604795499979
49,Fenntartható növekedés részvény eszk.,2025-06-05,3.0311,3.0222,-0.003,0.6682485140000027
50,Globális egészségügyi részvény eszk.,2025-06-05,3.2025,3.1818,-0.0065,0.8047870174999971
51,Globális növekedési részvény eszközalap,2025-06-05,2.2886,2.2784,-0.0045,-0.061448385999995914
52,Kiegyensúlyozott vegyes eszközalap - D,2025-06-05,1.3728,1.3689,-0.0028,0.11917915999997142
53,Latin-amerikai részvény eszközalap,2025-06-05,1.0992,1.0913,-0.0072,0.674212867199997
54,Magas kötvény arányú vegyes eszk. - D,2025-06-05,1.0936,1.0901,-0.0031,-0.11061999999999461
55,Magas védelmû vegyes eszközalap,2025-06-05,1.0933,1.0936,0.0002,0.1900940119999861
56,Nemz. élelmiszeripari cégek rv. ea - D,2025-06-05,3.3293,3.2921,-0.0112,-0.6349065856000036
57,Nyersanyagpiaci részvény eszközalap,2025-06-05,1.3232,1.3267,0.0026,1.3352704532000104
58,Presztízs- és luxusmárkák rv. ea.,2025-06-05,3.3993,3.3517,-0.014,0.3200109380000038
59,USA részvény eszközalap,2025-06-05,4.1499,4.123,-0.0065,0.0435514215000099
60,Ázsia kötvény eszközalap,2025-06-05,2.2305,2.2348,0.0019,0.4406312964000181
61,Aktív hozamfigyelõ vegyes eszközalap - D,2025-06-06,0.9234,0.9252,0.0019,0.4197581578458731
62,Euró likviditás eszközalap - D,2025-06-06,0.9236,0.9238,0.0001,-0.12000699219927302
63,Európai ingatlancégek részv. eszközalap,2025-06-06,1.8852,1.8871,0.001,-0.5992433127680052
64,Európai kötvény eszközalap - D,2025-06-06,1.2294,1.2311,0.0013,-0.22051076640219325
65,Európai részvény eszközalap,2025-06-06,2.5446,2.5542,0.0038,1.316339325882776
66,Európai vállalati kötvény eszközalap,2025-06-06,1.308,1.3107,0.002,-0.1509502996000167
67,Fejlõdõ piaci részvény ESG eszközalap-D,2025-06-06,1.0333,1.0344,0.0011,2.1452543678528224
68,Fejlõdõ ázsiai részvény eszközalap,2025-06-06,1.9594,1.9717,0.0062,2.7296037452320787
69,Fenntartható növekedés részvény eszk.,2025-06-06,3.0222,3.0579,0.0118,1.8561338464652133
70,Globális egészségügyi részvény eszk.,2025-06-06,3.1818,3.2178,0.0113,1.9438811107977516
71,Globális növekedési részvény eszközalap,2025-06-06,2.2784,2.2956,0.0076,0.6980846062664137
72,Kiegyensúlyozott vegyes eszközalap - D,2025-06-06,1.3689,1.3737,0.0035,0.46959628705998124
73,Latin-amerikai részvény eszközalap,2025-06-06,1.0913,1.0903,-0.0009,0.5836060756195138
74,Magas kötvény arányú vegyes eszk. - D,2025-06-06,1.0901,1.0927,0.0023,0.11912557400000079
