id,asset,opening_date,opening_euro_value,closing_date,closing_euro_value,yield_ratio,growth_factor,cumulative_growth,yield_ratio_cumprod,value_ma_50d,value_ma_100d,value_ma_200d,yield_ma_50d,yield_ma_100d,yield_ma_200d,ma50_diff,ma50_diff_ratio,ma100_diff,ma100_diff_ratio,ma200_diff,ma200_diff_ratio
1,Aktív hozamfigyelõ vegyes eszközalap - D,2025-06-03,0.9214,2025-06-04,0.9238,0.0026,1.0026,1.0026,0.0026,,,,,,,,,,,,
2,Euró likviditás eszközalap - D,2025-06-03,0.9248,2025-06-04,0.925,0.0002,1.0002,1.0002,0.0002,,,,,,,,,,,,
3,Európai ingatlancégek részv. eszközalap,2025-06-03,1.8987,2025-06-04,1.8929,-0.003,0.997,0.997,-0.003,,,,,,,,,,,,
4,Európai kötvény eszközalap - D,2025-06-03,1.2338,2025-06-04,1.2348,0.0009,1.0009,1.0009,0.0009,,,,,,,,,,,,
5,Európai részvény eszközalap,2025-06-03,2.5212,2025-06-04,2.5268,0.0022,1.0022,1.0022,0.0022,,,,,,,,,,,,
6,Európai vállalati kötvény eszközalap,2025-06-03,1.3127,2025-06-04,1.314,0.001,1.001,1.001,0.001,,,,,,,,,,,,
7,Fejlõdõ piaci részvény ESG eszközalap-D,2025-06-03,1.0127,2025-06-04,1.0202,0.0074,1.0074,1.0074,0.0074,,,,,,,,,,,,
8,Fejlõdõ ázsiai részvény eszközalap,2025-06-03,1.9192,2025-06-04,1.952,0.0171,1.0171,1.0171,0.0171,,,,,,,,,,,,
9,Fenntartható növekedés részvény eszk.,2025-06-03,3.002,2025-06-04,3.027,0.0083,1.0083,1.0083,0.0083,,,,,,,,,,,,
10,Globális egészségügyi részvény eszk.,2025-06-03,3.1562,2025-06-04,3.169,0.0041,1.0041,1.0041,0.0041,,,,,,,,,,,,
11,Globális növekedési részvény eszközalap,2025-06-03,2.2798,2025-06-04,2.2862,0.0028,1.0028,1.0028,0.0028,,,,,,,,,,,,
12,Kiegyensúlyozott vegyes eszközalap - D,2025-06-03,1.3673,2025-06-04,1.3714,0.003,1.003,1.003,0.003,,,,,,,,,,,,
13,Latin-amerikai részvény eszközalap,2025-06-03,1.084,2025-06-04,1.0942,0.0094,1.0094,1.0094,0.0094,,,,,,,,,,,,
14,Magas kötvény arányú vegyes eszk. - D,2025-06-03,1.0914,2025-06-04,1.0935,0.002,1.002,1.002,0.002,,,,,,,,,,,,
15,Magas védelmû vegyes eszközalap,2025-06-03,1.0914,2025-06-04,1.092,0.0005,1.0005,1.0005,0.0005,,,,,,,,,,,,
